IL                              ILCE                            SEMT                            MAHALLE                                 POSTA KODU
AĞRI                          	DİYADİN                       	DİYADİN                       	14 NİSAN MAH.                      	04900
AĞRI                          	DİYADİN                       	DİYADİN                       	ATATÜRK MAH.                       	04900
AĞRI                          	DİYADİN                       	DİYADİN                       	FATİH MAH.                         	04900
AĞRI                          	DİYADİN                       	DİYADİN                       	GÖL MAH.                           	04900
AĞRI                          	DİYADİN                       	DİYADİN                       	İSAAĞA MAH.                        	04900
AĞRI                          	DİYADİN                       	DİYADİN                       	KETENPINAR MAH.                    	04900
AĞRI                          	DİYADİN                       	DİYADİN                       	MURAT MAH.                         	04900
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ABDULHADİ MAH.                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ABDULKADİR ÇETİN MAH.              	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ADAKENT MAH.                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AHMET IŞIK MAH.                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AKBIYIK MAH.                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AKÇAY MAH.                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AKÇEVRE KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AKYOLAÇ KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ALAÇAYIR MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ALİKOM MAH.                        	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ALTINKİLİT KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ALTINKİLİT MAH.                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AMEREŞK MAH.                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	APRO MAH.                          	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AŞAĞI KÖH MAH.                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AŞAĞI UĞUR MAH.                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AŞAĞIAKPAZAR KÖYÜ                  	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AŞAĞIDALÖREN KÖYÜ                  	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AŞAĞIKARDEŞLİ KÖYÜ                 	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	AŞAĞITÜTEK KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ATADAMI KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ATAYOLU KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BATIBEYLİ KÖYÜ                     	04902
